ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.56571,0.18182,0.27519,20
ROUGE-L+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.47143,0.71429,0.56799,20
ROUGE-1+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.65385,0.19565,0.30118,20
ROUGE-1+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.43590,0.75000,0.55135,20
ROUGE-2+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,20
ROUGE-2+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.08606,0.20000,0.12034,20
ROUGE-SU4+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.29556,0.07000,0.11319,20
ROUGE-SU4+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.16889,0.50000,0.25249,20
