ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.42857,0.18182,0.25532,1
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0.50000,0.19565,0.28125,1
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TASK1,ENGLISHSYSSUM4.TXT,0.23333,0.07000,0.10769,1
